,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,Total Power,area,fps_per_w,fps_per_area,fps_per_w_per_area
0,SPOGA_1,MobileNet_V2,"{'element_size': 249, 'element_count': 16, 'units_count': 150, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_1', 'precision': 8, 'bitrate': 1}",24.20184652702112,1.4789999999999993e-06,676132.5219743073,0.0017591682520680001,586483.8466462395,587673.2775130874,15716.320305360001,1.1505245309699315,43.021044928927445,7.320571918972336e-05
1,SPOGA_1,ShuffleNet_V2,"{'element_size': 249, 'element_count': 16, 'units_count': 150, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_1', 'precision': 8, 'bitrate': 1}",54.045905281038564,1.4937000000000003e-05,66947.84762669879,0.000943166938084,586483.8466462395,586546.9896426969,15716.320305360001,0.11413893312704747,4.259766047391286,7.262446355723658e-06
2,SPOGA_1,ResNet50,"{'element_size': 249, 'element_count': 16, 'units_count': 150, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_1', 'precision': 8, 'bitrate': 1}",88.34502304231891,9.047000000000003e-05,11053.387863380121,0.012482574156583999,586483.8466462395,586621.8213799256,15716.320305360001,0.01884244237178043,0.7033063496173718,1.1989092870138486e-06
3,SPOGA_1,GoogLeNet,"{'element_size': 249, 'element_count': 16, 'units_count': 150, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_1', 'precision': 8, 'bitrate': 1}",93.76545282088573,0.00022679949999999998,4409.180796253961,0.0033568853170500004,586483.8466462395,586498.6477605146,15716.320305360001,0.007517802151957159,0.2805479088352649,4.783436584321355e-07
4,SPOGA_5,MobileNet_V2,"{'element_size': 187, 'element_count': 16, 'units_count': 5, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_5', 'precision': 8, 'bitrate': 5}",30.668309219758832,1.906399999999999e-05,52454.88879563579,0.06651583775678001,3112727.6380668744,3116216.718939555,16378.265655255998,0.01683287573576915,3.2027132725620633,1.0277569121225764e-06
5,SPOGA_5,ShuffleNet_V2,"{'element_size': 187, 'element_count': 16, 'units_count': 5, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_5', 'precision': 8, 'bitrate': 5}",68.23706084495976,3.437359999999994e-05,29092.093932552943,0.050536155698310006,3112727.6380668744,3114197.8406554395,16378.265655255998,0.009341761641717015,1.7762621845871032,5.703755109576649e-07
6,SPOGA_5,ResNet50,"{'element_size': 187, 'element_count': 16, 'units_count': 5, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_5', 'precision': 8, 'bitrate': 5}",91.39203916809431,0.00016969920000000017,5892.779694895433,0.311244010467576,3112727.6380668744,3114561.7304519154,16378.265655255998,0.0018920092792768005,0.3597926556408226,1.1551951342721262e-07
7,SPOGA_5,GoogLeNet,"{'element_size': 187, 'element_count': 16, 'units_count': 5, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_5', 'precision': 8, 'bitrate': 5}",96.99204811746115,0.0002609707,3831.8477898093543,0.08775519079885699,3112727.6380668744,3113063.902600781,16378.265655255998,0.0012308927505818533,0.2339593135479314,7.515403501755046e-08
8,SPOGA_10,MobileNet_V2,"{'element_size': 160, 'element_count': 16, 'units_count': 4, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_10', 'precision': 8, 'bitrate': 10}",32.93935684934089,1.2321000000000011e-05,81162.24332440541,0.09115922591808,2459635.0803350993,2467033.767610327,16689.724498464,0.03289871601677451,4.8630067759282065,1.9711958708367096e-06
9,SPOGA_10,ShuffleNet_V2,"{'element_size': 160, 'element_count': 16, 'units_count': 4, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_10', 'precision': 8, 'bitrate': 10}",70.55926114904801,2.862820000000006e-05,34930.592911884014,0.066076512667072,2459635.0803350993,2461943.1721001095,16689.724498464,0.014188220633089266,2.0929400551278587,8.501171265226726e-07
10,SPOGA_10,ResNet50,"{'element_size': 160, 'element_count': 16, 'units_count': 4, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_10', 'precision': 8, 'bitrate': 10}",92.9900583877586,0.00012574600000000034,7952.539245781157,0.396996872632064,2459635.0803350993,2462792.213545158,16689.724498464,0.003229074382338402,0.4764931408252456,1.9347679361846761e-07
11,SPOGA_10,GoogLeNet,"{'element_size': 160, 'element_count': 16, 'units_count': 4, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_10', 'precision': 8, 'bitrate': 10}",98.4064863969165,0.0002493671000000001,4010.1521010590395,0.12899524273372803,2459635.0803350993,2460152.3708787747,16689.724498464,0.0016300421667079913,0.2402767104650592,9.766741007965761e-08
12,DEAPCNN_1,MobileNet_V2,"{'element_size': 36, 'element_count': 36, 'units_count': 215, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_1', 'precision': 4, 'bitrate': 1}",75.71610720791048,1.1976999999999977e-05,83493.36227769908,9.771026649048384,89325.70460449519,905141.572438544,15613.013483838,0.092243428895614,5.3476775872978175,5.908111780669433e-06
13,DEAPCNN_1,ShuffleNet_V2,"{'element_size': 36, 'element_count': 36, 'units_count': 215, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_1', 'precision': 4, 'bitrate': 1}",94.47844274081827,4.647299999999999e-05,21517.87059152627,14.129387994552404,89325.70460449519,393360.0470087387,15613.013483838,0.054702735458662985,1.3782009868755158,3.5036628588894246e-06
14,DEAPCNN_1,ResNet50,"{'element_size': 36, 'element_count': 36, 'units_count': 215, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_1', 'precision': 4, 'bitrate': 1}",100.0,0.0005970380000000007,1674.935263752054,113.09823526827732,89325.70460449519,278757.9271234591,15613.013483838,0.006008565499951654,0.10727815392498594,3.848434196365419e-07
15,DEAPCNN_1,GoogLeNet,"{'element_size': 36, 'element_count': 36, 'units_count': 215, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_1', 'precision': 4, 'bitrate': 1}",100.0,0.0004049744999999999,2469.291276364315,38.05182668715172,89325.70460449519,183286.74829280574,15613.013483838,0.013472284817992147,0.15815596898833345,8.628881818322995e-07
16,DEAPCNN_5,MobileNet_V2,"{'element_size': 15, 'element_count': 15, 'units_count': 47, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_5', 'precision': 4, 'bitrate': 5}",97.09335590845399,2.7971400000000005e-05,35750.80260551849,57.09492933563471,557779.3607666848,2598968.909220988,16083.12502779,0.013755763864152724,2.2228766202926824,8.552917321965829e-07
17,DEAPCNN_5,ShuffleNet_V2,"{'element_size': 15, 'element_count': 15, 'units_count': 47, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_5', 'precision': 4, 'bitrate': 5}",99.5821789346491,8.036720000000001e-05,12442.887147990721,141.07268113087665,557779.3607666848,2313130.811742663,16083.12502779,0.005379240588048074,0.7736610345620445,3.34464886566093e-07
18,DEAPCNN_5,ResNet50,"{'element_size': 15, 'element_count': 15, 'units_count': 47, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_5', 'precision': 4, 'bitrate': 5}",100.0,0.0007764494000000028,1287.9139323180577,760.7327272636104,557779.3607666848,1537537.6389798017,16083.12502779,0.0008376470921210253,0.08007858734497642,5.208235903617342e-08
19,DEAPCNN_5,GoogLeNet,"{'element_size': 15, 'element_count': 15, 'units_count': 47, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_5', 'precision': 4, 'bitrate': 5}",100.0,0.0004672806999999994,2140.041307077312,248.4251785436859,557779.3607666848,1089419.504568229,16083.12502779,0.0019643868116033755,0.1330612864962213,1.2213962200810572e-07
20,DEAPCNN_10,MobileNet_V2,"{'element_size': 12, 'element_count': 12, 'units_count': 13, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_10', 'precision': 4, 'bitrate': 10}",98.57106794722446,4.057510000000012e-05,24645.657065540123,87.47065312440756,117024.39948146901,2272796.1196844336,16295.070655652402,0.010843760622471518,1.5124608899434926,6.654626329410885e-07
21,DEAPCNN_10,ShuffleNet_V2,"{'element_size': 12, 'element_count': 12, 'units_count': 13, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_10', 'precision': 4, 'bitrate': 10}",99.69936400307763,7.492539999999997e-05,13346.608760180132,153.6050859112839,117024.39948146901,2167131.3847132325,16295.070655652402,0.006158652333829881,0.8190580478121761,3.779457275132207e-07
