,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,Total Power,area,fps_per_w,fps_per_area,fps_per_w_per_area
0,SPOGA_1,MobileNet_V2,"{'element_size': 249, 'element_count': 16, 'units_count': 10, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_1', 'precision': 8, 'bitrate': 1}",24.20184652702112,3.9362000000000014e-05,25405.213149738316,0.030716376252068002,3188052.5231097494,3188832.879195621,39249.697799024005,0.007966931511364355,0.6472715606582339,2.0298070961357729e-07
1,SPOGA_1,ShuffleNet_V2,"{'element_size': 249, 'element_count': 16, 'units_count': 10, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_1', 'precision': 8, 'bitrate': 1}",54.045905281038564,3.508000000000002e-05,28506.271379703518,0.015406264538083999,3188052.5231097494,3188491.6982676196,39249.697799024005,0.008940362427536389,0.7262800219677708,2.2778168823910544e-07
2,SPOGA_1,ResNet50,"{'element_size': 249, 'element_count': 16, 'units_count': 10, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_1', 'precision': 8, 'bitrate': 1}",88.34502304231891,0.0003036540000000004,3293.221890704547,0.144267889356584,3188052.5231097494,3188527.629281104,39249.697799024005,0.001032834672800702,0.08390438845076757,2.6314461784884996e-08
3,SPOGA_1,GoogLeNet,"{'element_size': 249, 'element_count': 16, 'units_count': 10, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_1', 'precision': 8, 'bitrate': 1}",93.76545282088573,0.0002932395,3410.181779739769,0.034819768517049994,3188052.5231097494,3188171.264849921,39249.697799024005,0.0010696356928304159,0.08688428117845451,2.7252074609782442e-08
4,SPOGA_5,MobileNet_V2,"{'element_size': 187, 'element_count': 16, 'units_count': 12, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_5', 'precision': 8, 'bitrate': 5}",30.668309219758832,8.160800000000005e-06,122537.00617586504,0.02850289215678,2874834.3313604994,2878326.990432745,39307.2053406144,0.04257230209881126,3.1174184252995714,1.0830661129404481e-06
5,SPOGA_5,ShuffleNet_V2,"{'element_size': 187, 'element_count': 16, 'units_count': 12, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_5', 'precision': 8, 'bitrate': 5}",68.23706084495976,2.284000000000002e-05,43782.83712784585,0.01911939409831,2874834.3313604994,2875671.432678289,39307.2053406144,0.015225257180048631,1.1138628846403125,3.8734010846395753e-07
6,SPOGA_5,ResNet50,"{'element_size': 187, 'element_count': 16, 'units_count': 12, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_5', 'precision': 8, 'bitrate': 5}",91.39203916809431,9.531040000000009e-05,10492.034447447488,0.13032885366757602,2874834.3313604994,2876201.746182676,39307.2053406144,0.003647878477708534,0.26692394833286537,9.280432038090845e-08
7,SPOGA_5,GoogLeNet,"{'element_size': 187, 'element_count': 16, 'units_count': 12, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_5', 'precision': 8, 'bitrate': 5}",96.99204811746115,0.00023586830000000005,4239.6540781444555,0.03723295399885701,2874834.3313604994,2874992.186205762,39307.2053406144,0.001474666295959465,0.10785946345984075,3.7516437080195e-08
8,SPOGA_10,MobileNet_V2,"{'element_size': 160, 'element_count': 16, 'units_count': 9, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_10', 'precision': 8, 'bitrate': 10}",32.93935684934089,4.993600000000002e-06,200256.32809996788,0.03522326751808,1847778.9307539747,1854832.6129708283,37552.143551544,0.10796463610763425,5.332753583696133,2.8750592082564393e-06
9,SPOGA_10,ShuffleNet_V2,"{'element_size': 160, 'element_count': 16, 'units_count': 9, 'reconfig': [], 'vdp_type': 'SPOGA', 'name': 'SPOGA_10', 'precision': 8, 'bitrate': 10}",70.55926114904801,2.0526799999999995e-05,48716.79950113998,0.025545963867072,1847778.9307539747,1849023.4483537502,37552.143551544,0.02634731298000263,1.2973107496319456,7.016194147169883e-07
