,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
0,ONN_SA_1,MobileNet_V2,"[{'element_size': 4, 'element_count': 249, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'ONN_SA_1', 'accelerator_type': 'ONN_SA', 'precision': 4, 'bitrate': 1}]",100,2.41E-07,4149377.593,17.67658923,273089.0349,0.056362149,672.4113585,8.38E-05
1,ONN_SA_1,ShuffleNet_V2,"[{'element_size': 4, 'element_count': 249, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'ONN_SA_1', 'accelerator_type': 'ONN_SA', 'precision': 4, 'bitrate': 1}]",100,1.47E-05,67911.71477,26.30395139,273089.0349,0.032975889,672.4113585,4.90E-05
2,ONN_SA_1,ResNet50,"[{'element_size': 4, 'element_count': 249, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'ONN_SA_1', 'accelerator_type': 'ONN_SA', 'precision': 4, 'bitrate': 1}]",100,5.88E-05,17003.33265,405.2039882,273089.0349,0.002373803,672.4113585,3.53E-06
3,ONN_SA_1,GoogLeNet,"[{'element_size': 4, 'element_count': 249, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'ONN_SA_1', 'accelerator_type': 'ONN_SA', 'precision': 4, 'bitrate': 1}]",100,0.000224786,4448.685525,128.9342602,273089.0349,0.005254289,672.4113585,7.81E-06
4,ONN_SA_5,MobileNet_V2,"[{'element_size': 4, 'element_count': 187, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'ONN_SA_5', 'accelerator_type': 'ONN_SA', 'precision': 4, 'bitrate': 5}]",100,8.34E-08,11990407.67,21.27349558,205095.4909,0.046969084,11648.7751,4.03E-06
5,ONN_SA_5,ShuffleNet_V2,"[{'element_size': 4, 'element_count': 187, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'ONN_SA_5', 'accelerator_type': 'ONN_SA', 'precision': 4, 'bitrate': 5}]",100,1.48E-05,67768.12458,34.74659005,205095.4909,0.026473922,11648.7751,2.27E-06
6,ONN_SA_5,ResNet50,"[{'element_size': 4, 'element_count': 187, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'ONN_SA_5', 'accelerator_type': 'ONN_SA', 'precision': 4, 'bitrate': 5}]",100,4.32E-05,23148.57683,342.0816881,205095.4909,0.002849477,11648.7751,2.45E-07
7,ONN_SA_5,GoogLeNet,"[{'element_size': 4, 'element_count': 187, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'ONN_SA_5', 'accelerator_type': 'ONN_SA', 'precision': 4, 'bitrate': 5}]",100,0.000219814,4549.294564,129.6497987,205095.4909,0.005723027,11648.7751,4.91E-07
8,ONN_SA_10,MobileNet_V2,"[{'element_size': 4, 'element_count': 160, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'ONN_SA_10', 'accelerator_type': 'ONN_SA', 'precision': 4, 'bitrate': 10}]",100,4.33E-08,23094688.22,19.47373048,175485.3992,0.0513312,9966.91711,5.15E-06
9,ONN_SA_10,ShuffleNet_V2,"[{'element_size': 4, 'element_count': 160, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'ONN_SA_10', 'accelerator_type': 'ONN_SA', 'precision': 4, 'bitrate': 10}]",100,1.47E-05,67897.42058,35.38743903,175485.3992,0.026335191,9966.91711,2.64E-06
10,ONN_SA_10,ResNet50,"[{'element_size': 4, 'element_count': 160, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'ONN_SA_10', 'accelerator_type': 'ONN_SA', 'precision': 4, 'bitrate': 10}]",100,4.11E-05,24352.05276,299.2594951,175485.3992,0.003263008,9966.91711,3.27E-07
11,ONN_SA_10,GoogLeNet,"[{'element_size': 4, 'element_count': 160, 'units_count': 200, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'ONN_SA_10', 'accelerator_type': 'ONN_SA', 'precision': 4, 'bitrate': 10}]",100,0.000219202,4561.991766,115.3583523,175485.3992,0.006500886,9966.91711,6.52E-07
